음식명," 선호도",해산물,육류,소고기,돼지고기,닭고기,양고기,채소,회,내장,면,밥,국물,매운 것,느끼한 것,차가운 것,따듯한 것,짜투리
회덮밥,일식,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,
참치,일식,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,
회,일식,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,
짜장면,중식,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,
짬뽕,중식,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,
마라탕,중식,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,
양꼬치,중식,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,
훠궈,중식,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,
커리,아시안,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,
똠양궁,아시안,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,
쌀국수,아시안,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,
소고기,고기,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,
삼겹살,고기,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,
돼지갈비,고기,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,
소갈비,고기,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,
곱창,고기,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,
샌드위치,샐러드/샌드위치,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,
샐러드,샐러드/샌드위치,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,
포케,샐러드/샌드위치,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,
빵,디저트,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
케이크,디저트,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,
아이스크림,디저트,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,
